"name","SamAccountName","objectClass","memberof","userRight","lastLogonDate","AccountStatue","source_of_right"
"Server Operators","Server Operators","group","
","sebackupprivilege
seinteractivelogonright
seremoteshutdownprivilege
serestoreprivilege
seshutdownprivilege
sesystemtimeprivilege
","NA","NA","self
"
"Backup Operators","Backup Operators","group","
","sebackupprivilege
sebatchlogonright
seinteractivelogonright
serestoreprivilege
seshutdownprivilege
","NA","NA","self
"
"test 4","test4","user","
Backup Operators


","sebackupprivilege
sebatchlogonright
seinteractivelogonright
serestoreprivilege
seshutdownprivilege
","Never","Active","Backup Operators
"
"test 5","test5","user","
testgroup


","sebackupprivilege
sebatchlogonright
seinteractivelogonright
seloaddriverprivilege
serestoreprivilege
seshutdownprivilege
","Never","Active","Backup Operators
Print Operators
"
"Administrators","Administrators","group","
","sebackupprivilege
sebatchlogonright
sechangenotifyprivilege
secreatepagefileprivilege
sedebugprivilege
seenabledelegationprivilege
seincreasebasepriorityprivilege
seincreasequotaprivilege
seinteractivelogonright
seloaddriverprivilege
senetworklogonright
seprofilesingleprocessprivilege
seremoteshutdownprivilege
serestoreprivilege
sesecurityprivilege
seshutdownprivilege
sesystemenvironmentprivilege
sesystemprofileprivilege
sesystemtimeprivilege
setakeownershipprivilege
seundockprivilege
","NA","NA","self
"
"Administrator","Administrator","user","
Group Policy Creator Owners
Domain Admins              
Enterprise Admins          
Schema Admins              
Administrators             


","sebackupprivilege
sebatchlogonright
sechangenotifyprivilege
secreatepagefileprivilege
sedebugprivilege
seenabledelegationprivilege
seincreasebasepriorityprivilege
seincreasequotaprivilege
seinteractivelogonright
seloaddriverprivilege
senetworklogonright
seprofilesingleprocessprivilege
seremoteshutdownprivilege
serestoreprivilege
sesecurityprivilege
seshutdownprivilege
sesystemenvironmentprivilege
sesystemprofileprivilege
sesystemtimeprivilege
setakeownershipprivilege
seundockprivilege
","1/21/2025 10:53:52 AM","Active","Administrators
"
"IIS_IUSRS","IIS_IUSRS","group","
","sebatchlogonright
","NA","NA","self
"
"Performance Log Users","Performance Log Users","group","
","sebatchlogonright
","NA","NA","self
"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","group","
","sechangenotifyprivilege
senetworklogonright
","NA","NA","self
"
"Print Operators","Print Operators","group","
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","NA","NA","self
"
"test 3","test3","user","
Print Operators


","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","Never","Active","Print Operators
"
"Account Operators","Account Operators","group","
","seinteractivelogonright
","NA","NA","self
"
